timestamps,open,high,low,close,volume,amount
2025-07-01 08:00:00,107178.99,107178.99,106301.86,106605.8,1434.81634,152936770.8879768
2025-07-01 12:00:00,106605.79,107179.99,105623.39,105955.18,3974.69567,422558903.8920595
2025-07-01 16:00:00,105955.19,106287.95,105387.68,105398.53,1690.90273,179006382.3740085
2025-07-01 20:00:00,105398.52,106100.0,105250.85,105681.14,1163.77127,122963866.3524876
2025-07-02 00:00:00,105681.13,106216.08,105100.19,106194.7,1453.64233,153659545.1679964
2025-07-02 04:00:00,106194.7,107186.78,106131.55,107080.0,1903.51108,203133552.7917581
2025-07-02 08:00:00,107080.0,107860.23,107080.0,107479.99,2147.6808,231148508.8602808
2025-07-02 12:00:00,107479.98,108759.2,107186.1,108737.74,3227.14121,348553235.4854115
2025-07-02 16:00:00,108737.75,109730.0,108650.97,109676.14,5656.10907,618402032.2659886
2025-07-02 20:00:00,109676.14,109676.14,108720.0,108849.6,3303.81143,360802131.3058543
2025-07-03 00:00:00,108849.59,109115.03,108530.4,108628.21,1439.99562,156735199.7288773
2025-07-03 04:00:00,108628.2,109548.0,108566.14,109280.0,1560.58968,170410389.4200961
2025-07-03 08:00:00,109279.99,110273.21,109279.99,109599.19,3249.5488,356863247.051213
2025-07-03 12:00:00,109599.18,110529.18,108749.99,109127.84,4201.7259,461047557.4525379
2025-07-03 16:00:00,109127.85,109910.1,109020.8,109803.41,1688.44383,184886197.6476967
2025-07-03 20:00:00,109803.41,110000.0,109510.0,109584.78,906.77842,99516457.3379051
2025-07-04 00:00:00,109584.77,109767.59,109103.71,109235.57,1002.72236,109696511.7433566
2025-07-04 04:00:00,109235.58,109329.6,108700.0,108700.0,1609.06105,175331785.0625571
2025-07-04 08:00:00,108700.0,109111.0,108518.83,108888.0,1086.39121,118286241.0017868
2025-07-04 12:00:00,108888.0,108978.64,107505.0,107573.29,3616.08946,390584703.4458293
2025-07-04 16:00:00,107573.29,107922.5,107245.0,107469.23,3431.70312,369211260.116922
2025-07-04 20:00:00,107469.22,108279.33,107440.63,107984.24,1047.89895,113104610.2979134
2025-07-05 00:00:00,107984.25,108259.99,107756.31,108154.72,766.63785,82824719.4582216
2025-07-05 04:00:00,108154.72,108420.56,108000.0,108053.46,660.13042,71391425.6086205
2025-07-05 08:00:00,108053.46,108219.19,107870.42,108112.21,675.37974,72993635.391305
2025-07-05 12:00:00,108112.2,108232.29,107971.0,108058.0,564.4708,61036349.7956326
2025-07-05 16:00:00,108058.0,108167.23,107864.75,108141.78,586.1961,63319613.8339829
2025-07-05 20:00:00,108141.78,108250.0,107993.39,108198.12,484.16079,52362958.108985
2025-07-06 00:00:00,108198.12,108268.35,108025.97,108050.49,397.25464,42964165.0779616
